Distance_(m),Gray_Value
0.0692802,11.543
0.0693405,11.517
0.0694008,11.401
0.0694611,11.390
0.0695214,11.333
0.0695817,9.367
0.0696419,9.000
0.0697022,8.000
0.0697625,8.000
0.0698228,7.011
0.0698831,8.978
0.0699434,6.667
0.0700037,5.667
0.0700640,5.610
0.0701243,4.667
0.0701846,4.667
0.0702449,4.757
0.0703052,4.768
0.0703655,7.738
0.0704258,6.419
0.0704861,5.397
0.0705464,4.521
0.0706067,5.667
0.0706670,5.667
0.0707273,3.846
0.0707876,2.858
0.0708479,5.464
0.0709082,3.667
0.0709685,2.000
0.0710288,1.236
0.0710891,2.667
0.0711493,4.667
0.0712096,5.667
0.0712699,6.386
0.0713302,3.667
0.0713905,3.667
0.0714508,3.667
0.0715111,3.667
0.0715714,3.667
0.0716317,3.667
0.0716920,3.667
0.0717523,3.667
0.0718126,3.285
0.0718729,3.011
0.0719332,2.397
0.0719935,2.000
0.0720538,2.285
0.0721141,3.105
0.0721744,4.116
0.0722347,5.127
0.0722950,6.824
0.0723553,7.311
0.0724156,7.326
0.0724759,7.341
0.0725362,7.356
0.0725965,6.371
0.0726568,6.206
0.0727170,5.768
0.0727773,3.105
0.0728376,3.094
0.0728979,3.082
0.0729582,4.071
0.0730185,4.667
0.0730788,4.285
0.0731391,4.925
0.0731994,4.948
0.0732597,2.667
0.0733200,2.667
0.0733803,3.667
0.0734406,4.667
0.0735009,5.667
0.0735612,6.667
0.0736215,6.760
0.0736818,7.270
0.0737421,7.775
0.0738024,8.494
0.0738627,8.236
0.0739230,7.000
0.0739833,5.858
0.0740436,6.798
0.0741039,8.809
0.0741642,10.547
0.0742244,13.715
0.0742847,13.071
0.0743450,10.667
0.0744053,9.090
0.0744656,8.206
0.0745259,9.075
0.0745862,10.667
0.0746465,11.667
0.0747068,13.955
0.0747671,11.446
0.0748274,8.390
0.0748877,10.378
0.0749480,13.700
0.0750083,14.712
0.0750686,13.030
0.0751289,9.333
0.0751892,7.667
0.0752495,8.356
0.0753098,10.390
0.0753701,11.438
0.0754304,13.094
0.0754907,13.734
0.0755510,13.667
0.0756113,13.607
0.0756716,13.431
0.0757318,14.479
0.0757921,14.667
0.0758524,13.667
0.0759127,12.000
0.0759730,10.176
0.0760333,9.996
0.0760936,10.794
0.0761539,9.206
0.0762142,9.333
0.0762745,9.547
0.0763348,10.558
0.0763951,11.569
0.0764554,12.333
0.0765157,11.075
0.0765760,9.333
0.0766363,10.199
0.0766966,9.180
0.0767569,8.697
0.0768172,7.000
0.0768775,6.326
0.0769378,5.674
0.0769981,4.363
0.0770584,4.386
0.0771187,2.049
0.0771790,3.285
0.0772392,5.667
0.0772995,6.333
0.0773598,6.221
0.0774201,5.094
0.0774804,3.667
0.0775407,2.000
0.0776010,5.794
0.0776613,6.805
0.0777216,6.816
0.0777819,5.333
0.0778422,3.667
0.0779025,2.322
0.0779628,2.315
0.0780231,3.127
0.0780834,2.367
0.0781437,2.667
0.0782040,2.667
0.0782643,2.667
0.0783246,2.667
0.0783849,2.667
0.0784452,2.667
0.0785055,2.667
0.0785658,4.026
0.0786261,3.015
0.0786864,2.225
0.0787466,2.000
0.0788069,2.000
0.0788672,2.667
0.0789275,3.667
0.0789878,4.386
0.0790481,3.217
0.0791084,1.483
0.0791687,0.753
0.0792290,1.764
0.0792893,3.667
0.0793496,6.453
0.0794099,7.464
0.0794702,7.476
0.0795305,0.820
0.0795908,1.831
0.0796511,2.000
0.0797114,2.667
0.0797717,3.667
0.0798320,3.667
0.0798923,3.667
0.0799526,3.667
0.0800129,5.577
0.0800732,4.588
0.0801335,4.532
0.0801938,3.610
0.0802540,2.667
0.0803143,3.633
0.0803746,3.667
0.0804349,3.678
0.0804952,2.667
